"Pressure (Pa)","X (m)","Y (m)","Z (m)"
-1673.98856369889,0.230589730207259,-0.00699585038547353,-0.796299292738968
-1674.13224271563,0.229017020448944,-0.00704296640259502,-0.808315688169258
-1632.62417382525,0.22533435532188,-0.00720846526736998,-0.803177655789756
-1692.7296477157,0.244040217218106,-0.00603392191547912,-0.814581236517092
-1654.06172658351,0.246845576548372,-0.00577053140690595,-0.820189245086375
-1669.37075635346,0.227710672435559,-0.00705245432600308,-0.820258950284949
-1597.16645980976,0.221303881591846,-0.00724903378338318,-0.822547541758861
-1735.91288768331,0.232537201212969,-0.0066900206660453,-0.862025170025027
-1648.2675558081,0.224315041246909,-0.00695458001950569,-0.861010887026086
-1658.82194058559,0.224836080843163,-0.00684422111654226,-0.875942448710112
-1566.84906120909,0.216411440988102,-0.00708482480154496,-0.859892348915964
-1608.35023241128,0.220060237745073,-0.00697868790986302,-0.86882099924073
-1771.94452879396,0.236590335813061,-0.00651758463097679,-0.856249831191306
-1777.04557306981,0.244134391661254,-0.00601803217710472,-0.857240147880611
-1770.56704851951,0.244061556700438,-0.00604014061469164,-0.845572426410548
-1764.38948981601,0.242769115060122,-0.00614077786471194,-0.839894394609009
-1578.79109783653,0.218889452050919,-0.00724920535840912,-0.830592313398508
-1716.97196754541,0.231973461167486,-0.00685247273236358,-0.82567190136095
-1657.7116630854,0.226024460064187,-0.00708155809796329,-0.828215663850523
-1757.69041184376,0.235087545531479,-0.00661974802013255,-0.850179515318062
-1767.66076163293,0.238633111632572,-0.00642836110804558,-0.844741543716655
-1693.95074726368,0.228690801504634,-0.00687037298412526,-0.853209145976413
-1660.12648026484,0.226060253030582,-0.00701909945110079,-0.83766430758465
-1710.85369770917,0.231298969789125,-0.0068052766780277,-0.845067106702385
-1600.76747526753,0.220063166190104,-0.00709510167089792,-0.851694567536261
-1645.47914024406,0.224158932313216,-0.00704754166432241,-0.845754401303409
-1565.52382756951,0.216818984826015,-0.00720595877488083,-0.841441692536554
-2267.35557149549,0.285168329739285,0.00239337957890698,-0.805389515899783
-2269.97721759879,0.284988061218658,0.00229880333074699,-0.803410590387235
-2277.62288606003,0.284708956440293,0.00211324211581089,-0.801566496516449
-2265.91008187634,0.285084079255361,0.0017980310668999,-0.821798577357537
-2269.92577837725,0.284968210753173,0.00215583441789804,-0.807369977029644
-2292.64615035235,0.28402273206531,0.00135830729506488,-0.806308018891771
-2280.22453823525,0.284307856367441,0.00146346723102583,-0.810903397073608
-2284.77106894068,0.284398865133728,0.00160008337744844,-0.809120587044884
-2268.39244977229,0.284926174610549,0.00191701382874168,-0.813742997129874
-2287.25641201325,0.284200141096612,0.00131554772405992,-0.812547592495675
-2268.47132634087,0.285125917116631,0.00203966021153167,-0.815348156006802
-2260.08421732315,0.285615089342526,0.00241472467976416,-0.817019253352655
-1843.87326191716,0.241261192523698,-0.00614402598456426,-0.902408271538578
-1806.92107010738,0.238955401696048,-0.00632514303434644,-0.8810342811231
-1796.30168688909,0.239306559438402,-0.00635412325640853,-0.861823410280457
-1788.35841676516,0.238730580546333,-0.00636036525835435,-0.868253910584012
-1752.71109577159,0.234635296651121,-0.00654329994029206,-0.875021705354025
-1698.1247610676,0.229099447004811,-0.00677444737733471,-0.868753500805069
-1699.26229813972,0.234260210864833,-0.00676793319127308,-0.802700493904158
-1704.46178044931,0.24084598601048,-0.00630342907941694,-0.807646348556698
-1623.02341418848,0.244893279236558,-0.00593164712242597,-0.795306598141549
-1683.42080034755,0.242039544183035,-0.00620112511371967,-0.800858743577607
-1698.52283709204,0.238303557846228,-0.00650675679142916,-0.795844230324354
-714.178287711045,0.266154353358446,-0.00327905592708922,-0.767472646907404
-869.783230070988,0.264279019468764,-0.00353135388667691,-0.769142950087648
-789.135967824589,0.264332058933671,-0.0035021366323248,-0.762377319221304
-851.904223975875,0.263968857426415,-0.00355584229395907,-0.764323633381757
-704.043246819838,0.266076398097657,-0.00328258635941113,-0.765510602497346
-643.565709877637,0.267771951016267,-0.00305972073838449,-0.766321844754432
-916.959003209694,0.263780086900222,-0.00360524996308107,-0.771728245922866
-957.366089582947,0.263019598446423,-0.00371192857142829,-0.77420575292689
-995.906111821004,0.26211610281774,-0.00383708271325678,-0.776829913334336
-1106.15671707271,0.259522504203959,-0.00417380056162136,-0.778004655267799
-1229.32986392744,0.256475313365997,-0.0045669551452666,-0.779283434056846
-1009.30577021026,0.261663485803104,-0.00390381059361465,-0.779431494757047
-2229.30672650101,0.290100348690463,0.00644959862211364,-0.809613295235547
-2230.97550259316,0.29073984950034,0.00706966560516045,-0.806546344009231
-2228.66201783855,0.290038375449085,0.00626534811435949,-0.814054351797214
-2225.75086895934,0.290321683637078,0.00642472920215455,-0.816552413211227
-1876.78070964519,0.249997828120073,-0.00552728212898209,-0.923966947942923
-1797.74071448416,0.255592553014522,-0.00502241895879006,-0.926934779811598
-2236.62891960187,0.288379821697347,0.00394084878510658,-0.844335764808134
-2244.08734110857,0.287194199696239,0.00347575268403974,-0.82673372320272
-2246.80014236582,0.287274616495822,0.00347764241608261,-0.828882605397035
-2264.81385869915,0.285028084130331,0.00170803596386203,-0.823084934339384
-2260.59179235136,0.285426386215071,0.00202008869866664,-0.824251426521096
-2260.0979647003,0.285802213826099,0.00229755970732587,-0.825861073350363
-1606.27512118183,0.249467749044768,-0.00551016423197391,-0.8254586635836
-1672.58570334617,0.247687233370928,-0.00569616357649178,-0.830913069358053
-1701.18017426185,0.247259469233809,-0.00574554099714341,-0.836665919392828
-2245.21721763664,0.287240577484885,0.00337794986749369,-0.831139947456684
-2243.66477122243,0.287406214338501,0.00343930662260182,-0.833695421896349
-2272.50996839101,0.284892155844516,0.00167674886587149,-0.820320547306598
-2279.74400303078,0.284828445241184,0.00167530750276644,-0.818605302447749
-2863.20164589058,0.27321825146079,0.00502938370326106,-0.81413649361747
-2194.83379150358,0.27483297459012,0.00595458825750922,-0.80996114902821
-1076.76361129516,0.273156199615602,0.00622142645358695,-0.809606453291268
-1257.2160556854,0.273216238297211,0.00592053128234844,-0.811812820544458
-1745.38082783704,0.273118384744382,0.00579431207117548,-0.810248668717551
-1409.35195057169,0.2731682390453,0.00586820377731951,-0.81097806629134
-3611.64658921617,0.274476782214027,0.00531979778564019,-0.810650849060425
-3589.81030621747,0.274537104801552,0.00534225047617841,-0.811699884514485
